,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
123,2,Sean Kilpatrick,GCN,16,20.5,7.7,17.3,.444,2.7,6.8,.393,5.2,6.1,.860,2.7,3.2,0.6,2.4,3.0,3.7,1.8,0.0,23.3,SG,6-4,212,31
124,3,A.J. Slaughter,GCN,22,24.3,8.2,16.9,.484,2.8,6.9,.402,3.5,4.2,.839,2.5,3.4,0.7,3.1,3.8,6.1,1.8,0.3,22.6,G,6-4,185,33
125,4,Matt Costello,GCN,27,23.4,8.3,16.7,.496,2.2,5.9,.376,2.3,3.3,.712,2.2,4.9,3.4,6.5,9.9,2.2,0.8,2.0,21.2,C,6-9,245,27
126,5,Ruben Lopez,GCN,2,3.1,6.4,6.4,1.000,0.0,0.0,.000,6.4,6.4,1.000,0.0,0.0,12.7,0.0,12.7,0.0,0.0,0.0,19.1,PF,6-7,206,18
127,6,Olek Balcerowski,GCN,28,11.6,6.9,11.9,.577,0.7,1.7,.429,3.4,5.7,.609,3.8,9.1,3.0,5.3,8.2,1.7,0.7,2.1,18.0,C,7-1,230,20
128,8,Stan Okoye,GCN,33,20.6,5.9,14.4,.410,3.2,7.6,.426,2.5,3.2,.782,1.5,4.6,1.1,4.5,5.6,2.1,1.7,0.5,17.5,GF,6-6,215,29
129,9,Oliver Stevic,GCN,23,13.5,6.4,9.0,.714,0.0,0.0,.000,4.0,5.4,.738,1.9,6.2,3.2,4.5,7.7,1.4,1.4,0.3,16.8,FC,6-10,220,37
130,9,Oliver Stevic,GCN,23,13.5,6.4,9.0,.714,0.0,0.0,.000,4.0,5.4,.738,1.9,6.2,3.2,4.5,7.7,1.4,1.4,0.3,16.8,FC,6-10,220,37
131,10,Oliver Stevic,MON,6,19.6,6.8,12.6,.541,0.0,0.0,.000,2.0,3.1,.667,0.3,4.1,3.1,8.1,11.2,1.0,1.4,0.0,15.6,FC,6-10,220,37
132,10,Oliver Stevic,MON,6,19.6,6.8,12.6,.541,0.0,0.0,.000,2.0,3.1,.667,0.3,4.1,3.1,8.1,11.2,1.0,1.4,0.0,15.6,FC,6-10,220,37
133,11,Javi Lopez,GCN,2,6.2,6.4,9.6,.667,3.2,6.4,.500,0.0,0.0,.000,3.2,9.6,0.0,0.0,0.0,3.2,0.0,0.0,16.0,PG,5-11,-,21
134,12,Amedeo Della Valle,GCN,4,22.6,4.4,12.8,.345,0.0,2.7,.000,6.2,7.5,.824,3.1,2.2,0.4,1.8,2.2,1.8,3.1,0.0,15.0,G,6-5,190,27
135,13,Khalifa Diop,GCN,24,8.7,5.2,9.4,.551,0.0,0.2,.000,3.8,7.7,.500,2.5,7.7,5.2,5.2,10.3,1.1,1.0,2.3,14.2,FC,6-11,231,19
136,14,Andrew Albicy,GCN,32,23.9,4.1,10.5,.393,2.1,6.0,.360,3.3,4.2,.778,4.2,3.5,0.5,1.9,2.5,6.5,2.1,0.0,13.7,PG,5-10,165,30
137,15,Jean Montero,GCN,5,5.9,4.1,13.7,.300,0.0,8.2,.000,5.5,5.5,1.000,6.8,13.7,1.4,6.8,8.2,2.7,1.4,0.0,13.7,PG,6-2,172,17
138,16,Beka Burjanadze,GCN,18,16.8,4.4,10.2,.429,1.2,4.0,.300,3.6,5.0,.711,1.8,3.7,2.0,5.3,7.3,2.1,0.8,0.0,13.5,PF,6-8,260,27
139,17,Tomas Dimsa,GCN,30,21.3,4.7,13.5,.347,2.3,7.6,.298,1.5,1.9,.800,2.7,3.6,0.9,2.0,2.9,2.3,0.8,0.1,13.1,SG,6-5,180,27
140,18,John Shurna,GCN,32,23.3,4.9,9.6,.508,1.7,4.1,.421,1.4,1.8,.794,1.0,2.5,2.3,5.4,7.6,1.8,2.1,0.9,12.9,F,6-9,215,30
141,19,Fabio Santana,GCN,13,5.0,4.9,12.9,.381,1.2,6.1,.200,0.6,0.6,1.000,3.1,5.5,0.6,1.2,1.8,5.5,2.5,0.6,11.6,PG,6-2,185,28
142,20,Javier Beiran,GCN,28,23.0,4.3,8.8,.489,1.2,3.9,.302,0.6,0.9,.643,1.4,1.1,1.8,6.3,8.1,3.6,0.9,0.4,10.3,SF,6-6,200,33
143,21,Jovan Kljajic,GCN,2,6.3,0.0,3.2,.000,0.0,3.2,.000,6.3,6.3,1.000,6.3,0.0,3.2,3.2,6.3,3.2,0.0,3.2,6.3,SG,6-6,200,19
144,21,Jovan Kljajic,GCN,2,6.3,0.0,3.2,.000,0.0,3.2,.000,6.3,6.3,1.000,6.3,0.0,3.2,3.2,6.3,3.2,0.0,3.2,6.3,SG,6-6,200,19
145,14,Jovan Kljajic,BBB,23,4.3,4.1,15.1,.270,0.8,4.9,.167,3.3,4.1,.800,3.3,5.3,1.2,4.9,6.1,1.6,2.5,0.4,12.3,SG,6-6,200,19
146,14,Jovan Kljajic,BBB,23,4.3,4.1,15.1,.270,0.8,4.9,.167,3.3,4.1,.800,3.3,5.3,1.2,4.9,6.1,1.6,2.5,0.4,12.3,SG,6-6,200,19
147,22,Marcis Steinbergs,GCN,2,7.3,0.0,5.5,.000,0.0,2.7,.000,5.5,5.5,1.000,2.7,2.7,2.7,0.0,2.7,0.0,0.0,0.0,5.5,PF,6-9,185,19
148,1,Thaddus McFadden,SPB,32,22.3,8.1,18.3,.445,4.8,11.8,.408,3.6,4.3,.855,3.0,2.9,0.3,2.3,2.6,4.0,1.6,0.1,24.7,SG,6-2,176,33
149,2,Vitor Benite,SPB,32,23.5,7.6,16.7,.454,4.2,9.3,.454,3.9,4.7,.831,1.9,4.4,0.3,3.2,3.6,2.3,1.1,0.2,23.3,SG,6-3,194,31
150,3,Jasiel Rivero,SPB,31,23.4,7.9,13.8,.576,0.9,3.3,.283,4.8,7.2,.664,3.0,4.2,3.0,6.7,9.7,1.8,0.9,0.8,21.6,C,6-9,220,27
151,4,Dejan Kravic,SPB,33,20.7,9.1,15.2,.600,0.0,0.1,.000,2.6,4.9,.530,3.2,4.2,3.7,5.2,9.0,1.4,1.9,1.4,20.8,C,7-0,240,30
152,5,Alex Renfroe,SPB,30,22.7,6.6,12.5,.528,2.0,4.5,.442,3.2,4.3,.740,4.3,3.9,1.2,4.3,5.5,9.0,1.6,0.4,18.4,G,6-2,160,34
153,6,Goran Huskic,SPB,4,6.6,9.1,10.6,.857,0.0,0.0,.000,0.0,6.0,.000,4.5,4.5,1.5,1.5,3.0,9.1,4.5,0.0,18.1,C,6-9,225,28
154,6,Goran Huskic,SPB,4,6.6,9.1,10.6,.857,0.0,0.0,.000,0.0,6.0,.000,4.5,4.5,1.5,1.5,3.0,9.1,4.5,0.0,18.1,C,6-9,225,28
155,11,Goran Huskic,BBB,21,14.2,6.2,11.2,.554,0.0,0.3,.000,2.4,3.4,.720,3.8,5.9,2.0,5.0,7.0,4.0,1.1,0.4,14.8,C,6-9,225,28
156,11,Goran Huskic,BBB,21,14.2,6.2,11.2,.554,0.0,0.3,.000,2.4,3.4,.720,3.8,5.9,2.0,5.0,7.0,4.0,1.1,0.4,14.8,C,6-9,225,28
157,7,Jordan Sakho,SPB,30,9.9,5.5,10.4,.532,0.0,0.1,.000,4.3,5.8,.744,3.9,11.6,4.6,5.5,10.1,1.8,2.0,1.1,15.4,C,6-10,220,23
158,8,Ken Horton,SPB,32,22.4,5.7,12.5,.458,2.6,7.1,.370,0.7,1.0,.722,1.3,3.5,1.4,6.4,7.9,1.9,2.1,0.4,14.8,F,6-6,190,31
159,9,Kareem Queeley,SPB,5,5.3,6.0,12.0,.500,0.0,0.0,.000,1.5,1.5,1.000,6.0,13.5,1.5,3.0,4.5,0.0,3.0,0.0,13.5,G,6-3,202,19
160,10,Maksim Salash,SPB,18,9.4,5.7,13.2,.429,0.5,5.2,.091,1.4,2.6,.545,0.9,3.3,1.7,6.1,7.8,1.4,0.9,0.7,13.2,PF,6-9,220,24
161,11,Miquel Salvo,SPB,32,14.9,4.2,9.4,.446,1.6,4.6,.345,2.0,2.6,.774,1.2,4.8,1.5,4.0,5.5,1.0,1.4,0.3,12.0,F,6-9,198,26
162,12,Xavi Rabaseda,SPB,29,19.9,3.6,8.3,.433,1.4,4.4,.312,2.1,2.8,.775,1.7,3.1,1.7,5.1,6.9,1.2,2.6,0.3,10.7,GF,6-7,205,32
163,13,Omar Cook,SPB,32,22.1,2.8,8.2,.338,2.1,6.1,.346,1.2,1.6,.724,2.8,4.4,0.5,2.2,2.6,10.5,2.1,0.1,8.8,PG,6-2,190,39
164,14,Alex Barrera,SPB,17,7.7,1.8,6.5,.286,1.5,6.1,.250,0.6,0.6,1.000,0.6,2.5,0.0,2.2,2.2,1.2,2.5,0.0,5.8,SG,6-7,180,28
165,15,Oliver Bieshaar,SPB,1,5.0,0.0,16.2,.000,0.0,8.1,.000,0.0,0.0,.000,8.1,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,PF,6-8,220,19
166,16,Alberto Alonso,SPB,1,7.2,0.0,0.0,.000,0.0,0.0,.000,0.0,11.1,.000,0.0,5.6,0.0,11.1,11.1,5.6,11.1,0.0,0.0,F,6-7,194,19
167,17,Angel Infante,SPB,1,2.3,0.0,17.5,.000,0.0,17.5,.000,0.0,0.0,.000,17.5,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,PG,5-11,-,22
168,1,Giorgi Shermadini,CAN,34,23.5,10.5,15.7,.667,0.0,0.0,.000,8.2,9.1,.901,3.8,3.3,3.9,5.2,9.1,3.1,1.6,0.8,29.2,C,7-1,250,31
169,2,Marcelinho Huertas,CAN,33,25.7,8.6,16.5,.519,1.8,4.1,.437,3.2,3.5,.919,4.1,2.3,0.7,2.5,3.1,9.6,1.0,0.0,22.1,PG,6-3,200,37
170,3,Fran Guerra,CAN,33,14.2,8.4,11.9,.705,0.2,0.4,.400,4.6,6.8,.684,2.7,5.4,2.3,5.2,7.5,3.0,1.4,0.8,21.5,C,7-0,250,28
171,4,Spencer Butterfield,CAN,18,13.9,6.6,11.5,.569,4.2,7.1,.591,1.9,2.2,.857,2.4,4.3,1.1,4.8,5.9,1.1,1.9,0.0,19.2,G,6-3,205,28
172,5,Danilo Brnovic,CAN,2,2.1,0.0,0.0,.000,0.0,0.0,.000,18.8,18.8,1.000,0.0,0.0,9.4,0.0,9.4,0.0,0.0,0.0,18.8,PF,6-6,194,20
173,6,Bruno Fitipaldo,CAN,33,23.1,6.3,15.2,.414,2.3,6.9,.333,3.8,4.7,.811,3.7,3.9,0.6,2.2,2.8,8.1,2.3,0.0,18.7,PG,6-0,183,29
174,7,Santiago Yusta,CAN,17,12.4,6.5,12.2,.531,3.2,6.7,.486,1.1,1.7,.667,1.9,2.7,0.6,3.2,3.8,1.5,2.1,0.0,17.3,SF,6-6,183,23
175,8,Emir Sulejmanovic,CAN,34,12.7,5.9,10.6,.561,1.4,3.4,.405,1.4,2.4,.577,1.2,6.3,2.4,7.4,9.8,1.3,1.3,0.4,14.7,PF,6-9,220,25
176,9,Sasu Salin,CAN,32,23.7,4.6,11.5,.404,3.4,8.3,.408,1.8,2.1,.875,1.2,3.3,0.5,2.3,2.8,2.3,1.1,0.1,14.5,SG,6-3,191,29
177,10,Tyler Cavanaugh,CAN,34,22.3,5.3,9.5,.552,1.7,3.7,.465,2.0,2.4,.844,1.4,3.2,2.0,6.0,8.0,1.7,0.8,0.2,14.3,F,6-9,240,27
178,11,Aaron Doornekamp,CAN,31,25.6,4.1,9.5,.431,3.2,7.2,.441,1.8,2.3,.778,1.2,4.2,0.9,4.5,5.4,2.0,1.3,0.2,13.1,PF,6-7,212,35
179,12,Sergio Rodriguez,CAN,32,13.7,2.7,6.7,.405,2.1,4.6,.451,1.5,1.8,.850,1.2,3.4,1.2,4.6,5.8,1.8,1.5,0.0,9.1,SF,6-7,202,27
180,13,Daniel Diez,CAN,10,12.3,2.6,5.5,.471,1.3,3.3,.400,1.3,1.6,.800,1.3,0.3,1.0,4.6,5.5,0.7,1.6,0.0,7.8,SF,6-8,216,27
181,14,Alex Lopez,CAN,19,6.7,1.6,8.8,.179,0.6,5.6,.111,2.2,2.5,.875,2.8,6.6,0.6,1.9,2.5,3.8,1.3,0.0,6.0,SG,6-2,196,29
182,15,Charles Jenkins,CAN,4,12.5,1.6,5.6,.286,0.8,3.2,.250,0.0,0.0,.000,2.4,4.0,0.0,3.2,3.2,1.6,1.6,0.0,4.0,G,6-3,215,32
183,16,Georgios Bogris,CAN,4,6.6,0.0,6.0,.000,0.0,0.0,.000,0.0,0.0,.000,6.0,10.5,3.0,3.0,6.0,4.5,1.5,0.0,0.0,FC,6-11,235,32
184,1,Steven Enoch,OBR,34,15.5,9.5,16.1,.592,0.9,2.7,.343,4.6,5.3,.870,3.6,4.9,3.4,7.3,10.7,1.2,0.7,1.4,24.5,PF,6-10,260,23
185,2,Kassius Robertson,OBR,31,27.1,7.2,17.3,.419,4.1,9.9,.411,3.9,5.2,.745,3.0,2.0,0.6,2.0,2.6,3.9,1.1,0.1,22.5,G,6-3,180,26
186,3,Laurynas Birutis,OBR,30,20.5,7.2,12.1,.597,0.0,0.0,.000,5.9,8.2,.714,3.1,3.6,3.6,6.6,10.2,1.2,0.9,1.6,20.3,C,7-1,242,23
187,4,Mike Daum,OBR,28,21.2,6.7,15.1,.440,2.4,6.3,.372,3.2,4.0,.797,2.6,4.6,2.4,5.9,8.2,1.0,1.1,0.3,18.8,F,6-9,235,25
188,5,Laurynas Beliauskas,OBR,34,18.5,5.6,13.5,.413,2.8,8.6,.324,1.8,2.4,.737,2.3,3.6,0.6,2.7,3.3,3.6,1.3,0.2,15.7,G,6-4,175,23
189,6,Kartal Ozmizrak,OBR,15,19.5,4.9,11.6,.424,2.7,7.4,.370,3.0,3.3,.917,2.9,6.0,0.0,3.2,3.2,4.2,1.4,0.3,15.6,PG,6-2,163,25
190,7,Jake Cohen,OBR,33,22.1,5.3,11.8,.449,1.7,5.0,.337,3.1,3.4,.905,2.4,3.9,1.9,5.0,6.9,2.2,0.8,0.5,15.4,FC,6-10,235,30
191,8,Chris Czerapowicz,OBR,32,21.0,5.5,11.3,.484,2.0,5.4,.374,1.5,1.9,.812,1.6,3.7,2.0,5.2,7.1,2.0,0.9,0.4,14.5,G,6-7,210,29
192,9,Albert Oliver,OBR,31,15.1,2.8,6.7,.418,1.4,3.5,.390,3.2,3.7,.884,2.8,5.6,0.8,3.0,3.8,5.2,1.3,0.0,10.2,PG,6-2,185,42
193,10,Alex Suarez,OBR,30,16.3,3.8,7.5,.500,1.7,4.3,.396,0.8,0.8,1.000,1.0,2.9,1.1,2.6,3.8,1.3,1.3,0.3,10.0,PF,6-10,214,27
194,11,Alvaro Munoz,OBR,32,12.4,2.9,8.3,.354,2.1,6.1,.350,1.6,1.8,.889,2.0,3.2,1.5,3.7,5.2,3.0,1.0,0.1,9.6,SF,6-5,200,30
195,12,Pepe Pozas,OBR,20,23.5,2.9,8.0,.362,1.4,5.6,.258,1.9,2.5,.759,3.5,4.6,0.8,3.8,4.6,7.8,2.2,0.2,9.1,PG,6-0,187,28
196,13,Rafael Garcia,OBR,17,2.9,1.6,6.6,.250,0.0,0.8,.000,3.3,4.9,.667,4.9,4.9,1.6,4.9,6.6,6.6,0.8,0.0,6.6,G,6-1,-,20
197,14,Antonios Koniaris,OBR,3,8.2,1.6,9.8,.167,0.0,8.1,.000,3.3,3.3,1.000,6.5,4.9,4.9,0.0,4.9,13.0,3.3,0.0,6.5,PG,6-4,190,23
198,15,Martin Fernandez,OBR,1,1.4,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SG,6-4,-,19
199,1,Clevin Hannah,AND,34,25.0,6.5,14.3,.459,3.0,7.3,.410,4.6,5.1,.890,3.6,4.1,0.4,2.4,2.8,7.3,1.2,0.0,20.7,G,5-11,165,33
200,2,Jeremy Senglin,AND,31,24.1,6.5,14.8,.442,2.0,5.6,.356,4.1,5.1,.792,2.2,3.9,0.9,3.3,4.2,2.9,0.8,0.1,19.1,G,6-0,190,25
201,3,Tomasz Gielo,AND,17,17.7,5.4,11.6,.471,4.1,8.5,.484,2.5,3.1,.826,1.1,4.5,1.6,6.0,7.6,0.8,0.7,0.0,17.5,PF,6-9,228,28
202,4,David Jelinek,AND,33,22.7,5.9,15.5,.384,3.4,9.4,.360,1.8,2.4,.773,2.2,3.2,0.5,3.3,3.7,1.9,1.0,0.1,17.1,SG,6-5,190,30
203,5,Malik Dime,AND,18,13.5,6.4,11.4,.565,0.0,0.2,.000,4.1,5.8,.714,3.6,7.2,3.8,5.8,9.5,0.3,1.6,5.3,16.9,PF,6-9,220,28
204,6,Tyson Perez,AND,17,20.8,5.8,12.4,.464,2.3,5.0,.455,2.6,3.8,.676,1.7,2.9,4.3,6.8,11.1,0.9,1.6,0.8,16.4,PF,6-8,214,25
205,7,Haukur Palsson,AND,19,20.3,5.3,13.2,.402,2.7,7.2,.377,2.5,3.6,.686,3.9,4.1,0.6,4.4,5.0,2.8,1.9,0.2,15.8,F,6-6,190,28
206,8,Artsiom Parakhouski,AND,19,14.9,5.9,10.7,.553,0.0,0.0,.000,3.4,4.5,.750,2.7,4.1,4.0,6.5,10.5,1.4,0.8,1.6,15.3,C,6-11,268,33
207,9,Tunde Olumuyiwa,AND,33,19.7,5.8,9.0,.651,0.0,0.0,.000,2.3,3.7,.623,4.0,4.7,3.0,5.8,8.9,1.0,0.9,1.4,14.0,FC,6-8,220,29
208,10,Oriol Pauli,AND,33,21.8,4.9,11.4,.427,0.9,4.2,.227,2.7,3.5,.778,2.7,3.6,1.5,5.7,7.2,3.8,1.2,0.4,13.4,GF,6-7,185,26
209,11,Fausto Ruesga,AND,3,9.1,4.4,8.8,.500,2.9,7.3,.400,0.0,0.0,.000,2.9,2.9,1.5,4.4,5.8,0.0,5.8,0.0,11.7,SF,6-7,-,20
210,12,Bandja Sy,AND,23,18.6,4.4,10.3,.427,1.2,5.1,.236,1.4,2.0,.714,1.7,4.2,3.5,4.8,8.2,1.2,1.4,1.0,11.4,F,6-8,214,30
211,13,Sergi Garcia,AND,33,16.7,3.5,10.6,.331,2.5,7.1,.347,1.8,2.8,.658,3.1,3.2,1.9,4.5,6.4,6.5,1.3,0.2,11.3,PG,6-3,181,24
212,14,Nacho Llovet,AND,24,15.8,4.1,8.1,.506,0.2,1.2,.182,1.7,2.3,.727,1.1,4.5,3.9,5.6,9.5,2.2,1.2,0.5,10.1,FC,6-8,225,29
213,15,Charlon Kloof,AND,5,13.5,3.0,13.7,.217,1.8,8.3,.214,1.2,1.2,1.000,2.4,4.2,0.6,2.4,3.0,3.0,2.4,1.2,8.9,G,6-3,195,30
214,15,Charlon Kloof,AND,5,13.5,3.0,13.7,.217,1.8,8.3,.214,1.2,1.2,1.000,2.4,4.2,0.6,2.4,3.0,3.0,2.4,1.2,8.9,G,6-3,195,30
215,19,Charlon Kloof,MON,9,8.9,2.5,8.5,.294,0.5,4.0,.125,1.0,1.0,1.000,3.0,6.0,0.5,5.0,5.5,4.0,1.0,1.0,6.5,G,6-3,195,30
216,19,Charlon Kloof,MON,9,8.9,2.5,8.5,.294,0.5,4.0,.125,1.0,1.0,1.000,3.0,6.0,0.5,5.0,5.5,4.0,1.0,1.0,6.5,G,6-3,195,30
217,16,Guillem Colom,AND,18,4.2,3.7,12.6,.292,0.5,6.8,.077,1.0,1.0,1.000,1.6,3.1,3.1,2.6,5.8,2.1,2.1,0.0,8.9,PF,6-4,192,29
218,17,Saulius Kulvietis,AND,7,14.0,1.6,8.2,.200,1.2,6.1,.200,1.6,1.6,1.000,3.7,2.9,1.6,5.7,7.4,0.4,1.2,0.4,6.1,F,6-9,220,30
219,18,Albert Pons,AND,2,7.1,0.0,2.8,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,11.3,0.0,2.8,2.8,0.0,2.8,0.0,0.0,SG,6-5,187,19
220,19,Alexis Bartolome,AND,1,4.8,0.0,16.8,.000,0.0,16.8,.000,0.0,0.0,.000,0.0,16.8,0.0,8.4,8.4,0.0,0.0,0.0,0.0,F,6-7,201,22
221,1,J.J. Barea,EST,18,22.8,7.6,21.1,.361,2.7,8.9,.308,4.2,5.2,.811,4.1,4.7,0.6,2.1,2.7,8.3,1.6,0.0,22.2,G,5-10,180,36
222,2,Aleksa Avramovic,EST,35,29.7,7.6,17.5,.437,1.9,5.8,.322,4.8,5.8,.834,2.5,2.8,0.7,3.2,3.9,4.7,1.6,0.4,22.0,G,6-3,190,26
223,3,John Roberson,EST,31,22.0,6.8,16.3,.419,4.5,11.0,.404,2.3,2.4,.951,2.4,3.5,0.4,1.9,2.3,5.4,0.9,0.1,20.4,PG,5-11,168,32
224,4,Alessandro Gentile,EST,17,24.6,8.0,18.6,.431,0.6,2.8,.207,2.4,3.3,.714,4.8,3.2,1.5,6.3,7.8,5.1,1.5,0.5,19.0,SF,6-6,228,28
225,5,Victor Arteaga,EST,35,17.8,8.0,12.7,.631,0.0,0.1,.000,2.8,3.9,.705,2.4,5.6,5.0,6.0,11.0,0.8,1.0,1.4,18.8,C,7-0,214,28
226,6,Angel Delgado,EST,33,20.9,6.8,10.5,.650,0.0,0.1,.000,2.3,5.9,.396,2.7,5.2,5.9,8.9,14.8,1.4,1.8,0.8,15.9,C,6-10,230,26
227,7,Alec Brown,EST,35,22.9,5.1,11.8,.436,3.1,7.8,.397,0.9,1.2,.750,1.4,5.5,2.0,4.8,6.8,0.8,0.6,2.0,14.3,C,7-1,235,28
228,8,Nemanja Djurisic,EST,33,17.9,5.3,11.8,.454,1.9,5.4,.350,1.2,1.6,.708,2.2,4.7,2.0,5.3,7.2,1.8,0.9,0.4,13.7,F,6-8,230,29
229,9,Dovydas Giedraitis,EST,16,18.8,5.0,11.9,.422,2.7,7.2,.370,0.9,1.2,.778,1.7,4.9,0.9,1.5,2.4,1.5,1.1,0.0,13.7,PG,6-4,165,20
230,10,Martins Laksa,EST,6,9.4,3.6,10.7,.333,2.8,7.1,.400,3.6,3.6,1.000,0.7,7.1,0.7,5.0,5.7,0.7,2.1,0.0,13.5,SF,6-7,198,30
231,11,Edwin Jackson,EST,11,21.3,4.4,14.4,.310,1.2,4.4,.269,2.1,3.1,.667,2.4,4.6,1.5,3.4,5.0,4.3,0.7,0.0,12.1,SG,6-2,201,31
232,12,Aleksandar Cvetkovic,EST,27,15.2,3.7,7.5,.494,2.1,5.2,.415,1.7,1.9,.895,3.3,5.0,0.7,2.2,2.9,4.5,1.5,0.0,11.2,PG,6-2,165,27
233,13,Edgar Vicedo,EST,29,17.1,4.0,9.8,.405,1.5,4.5,.339,1.4,1.5,.944,0.6,3.8,1.6,4.9,6.5,1.2,2.0,0.7,10.8,SF,6-8,200,26
234,14,Christ Koumadje,EST,6,4.9,4.1,6.8,.600,0.0,0.0,.000,1.4,5.5,.250,2.7,5.5,2.7,5.5,8.2,0.0,0.0,2.7,9.6,C,7-4,270,24
235,15,Adams Sola,EST,30,7.2,2.0,6.1,.333,0.7,3.7,.200,0.6,1.3,.429,0.7,6.3,2.2,3.7,5.9,1.5,1.7,0.2,5.4,G,6-5,165,20
236,16,Ruben Dominguez,EST,5,5.0,1.6,11.2,.143,1.6,6.4,.250,0.0,0.0,.000,1.6,8.0,1.6,0.0,1.6,0.0,0.0,0.0,4.8,SG,6-6,-,18
237,17,Emil Stoilov,EST,9,1.9,2.3,9.3,.250,0.0,0.0,.000,0.0,0.0,.000,4.6,11.6,4.6,6.9,11.6,2.3,0.0,2.3,4.6,C,6-11,215,19
238,18,Zeljko Sakic,EST,1,22.3,0.0,1.8,.000,0.0,1.8,.000,3.6,3.6,1.000,1.8,3.6,1.8,9.0,10.8,1.8,0.0,0.0,3.6,F,6-7,234,32
239,19,Diego Alderete,EST,1,2.7,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,6-8,207,20
240,20,Nacho Arroyo,EST,2,5.8,0.0,10.3,.000,0.0,6.8,.000,0.0,0.0,.000,3.4,3.4,0.0,0.0,0.0,6.8,0.0,0.0,0.0,PG,6-1,170,21
241,1,Jaycee Carroll,RMB,28,15.6,9.2,18.7,.493,4.4,10.2,.429,4.8,5.1,.946,1.6,3.7,1.2,3.6,4.8,1.5,1.0,0.1,27.7,SG,6-2,170,37
242,2,Sergio Llull,RMB,21,17.4,7.3,18.6,.394,3.7,10.6,.351,3.2,4.0,.784,3.1,2.9,0.1,2.9,3.1,4.8,1.0,0.1,21.5,PG,6-3,190,33
243,3,Rudy Fernandez,RMB,19,13.7,6.8,15.1,.449,5.5,12.3,.450,1.8,2.9,.632,1.8,2.5,0.9,4.9,5.9,3.2,2.3,0.5,20.9,SG,6-6,185,35
244,4,Facundo Campazzo,RMB,10,21.8,6.0,13.4,.452,2.6,7.3,.350,5.1,5.7,.903,4.2,2.6,0.2,4.2,4.4,8.4,4.2,0.0,19.8,PG,5-11,165,29
245,5,Fabien Causeur,RMB,25,20.8,6.7,13.6,.492,3.3,7.5,.443,3.1,3.8,.800,2.2,2.7,0.5,3.2,3.8,3.3,1.5,0.3,19.8,SG,6-3,198,33
